"index","mae.mod","mse.mod","r2.mod","mae.sev","mse.sev","r2.sev"
1,0.0269072623360275,0.0269072623360275,0.983059256479247,0.0170726443427995,0.0170726443427995,0.982514710899447
2,0.0250169574718129,0.0250169574718129,0.984125375253162,0.0135771433322946,0.0135771433322946,0.988202584713951
3,0.023912938539187,0.023912938539187,0.985962771750162,0.0147002395959462,0.0147002395959462,0.987533455315576
4,0.0245685413239753,0.0245685413239753,0.984751145079251,0.0140050584001825,0.0140050584001825,0.990076783152435
5,0.0278093326009886,0.0278093326009886,0.981419214547291,0.0157572130023086,0.0157572130023086,0.981675062256433
6,0.0252839671625078,0.0252839671625078,0.98390689019223,0.0155354524794659,0.0155354524794659,0.981707236823676
7,0.0249818880958959,0.0249818880958959,0.984443101962368,0.0145563435791881,0.0145563435791881,0.987123606529308
8,0.0229220961091438,0.0229220961091438,0.985147304563562,0.0154833341378366,0.0154833341378366,0.984327154949724
9,0.0248455200982237,0.0248455200982237,0.983969338486779,0.0149413384509132,0.0149413384509132,0.987203951050431
10,0.0244087022243449,0.0244087022243449,0.983298675007137,0.0148616944676044,0.0148616944676044,0.981395694839717
