"index","mae.mod","mse.mod","r2.mod","mae.sev","mse.sev","r2.sev"
1,0.017071154782157,0.017071154782157,0.990051207293704,0.00850943407271297,0.00850943407271297,0.988992925413052
2,0.0174028058787619,0.0174028058787619,0.989763572241954,0.00932340468768646,0.00932340468768646,0.989221518443589
3,0.017495224138569,0.017495224138569,0.990966755567716,0.00960834486067325,0.00960834486067325,0.986381184267036
4,0.0165389130185899,0.0165389130185899,0.991935148279562,0.00826298730617773,0.00826298730617773,0.992729845192861
5,0.0172727909039249,0.0172727909039249,0.991024510296936,0.00779197052641902,0.00779197052641902,0.992139385757185
6,0.0167351267350253,0.0167351267350253,0.992984162068645,0.00834749113089874,0.00834749113089874,0.993110311348419
7,0.018769752823581,0.018769752823581,0.98891509336621,0.0101564213967295,0.0101564213967295,0.984582241532543
8,0.0170796490081178,0.0170796490081178,0.991222906974993,0.00929224471092487,0.00929224471092487,0.987612120415668
9,0.0187324491743333,0.0187324491743333,0.990228914775358,0.00920056693299782,0.00920056693299782,0.991058722484921
10,0.0166404353426261,0.0166404353426261,0.991694313018774,0.00906815600903851,0.00906815600903851,0.986057631109281
