"index","mae.mod","mse.mod","r2.mod","mae.sev","mse.sev","r2.sev"
1,0.0237101703743809,0.0237101703743809,0.986822130524871,0.0134989625395284,0.0134989625395284,0.989628688354332
2,0.0223220293799832,0.0223220293799832,0.988779001341339,0.0161313151342063,0.0161313151342063,0.980765944730454
3,0.0234195926649069,0.0234195926649069,0.98094576716493,0.0118051949320253,0.0118051949320253,0.985823865275206
4,0.02261226496048,0.02261226496048,0.986057160398594,0.013442280743692,0.013442280743692,0.986874432483712
5,0.0232512718464086,0.0232512718464086,0.984492655731942,0.0150545183260128,0.0150545183260128,0.985444405669066
6,0.0212666089978454,0.0212666089978454,0.985323995311913,0.0115268204858545,0.0115268204858545,0.990511676761255
7,0.0232226985210242,0.0232226985210242,0.98804710859437,0.014508127697793,0.014508127697793,0.98813107420883
8,0.02503769659384,0.02503769659384,0.983347325347874,0.0164138680396822,0.0164138680396822,0.981753566652462
9,0.0236565708741264,0.0236565708741264,0.98794449352601,0.0136238350984865,0.0136238350984865,0.988555924214423
10,0.0210291018187276,0.0210291018187276,0.990918622799572,0.012825582886774,0.012825582886774,0.992744445269872
