"ISO3","YEAR","GDLCODE","geo_area","fies","population","stunting","u5pop"
"AGO",2025,"AGOr213","Urban",33525,49556,2708,7351
"AGO",2025,"AGOr216","Rural",1421597,2075860,113191,307935
"AGO",2025,"AGOr216","Urban",0,0,0,0
"AGO",2025,"AGOr215","Rural",1582359,2452144,141289,363753
"AGO",2025,"AGOr215","Urban",381251,590816,34042,87642
"AGO",2025,"AGOr210","Rural",328,641,42,95
"AGO",2025,"AGOr210","Urban",915375,1789341,116481,265432
"AGO",2025,"AGOr212","Rural",537642,787941,51414,116884
"AGO",2025,"AGOr212","Urban",9162,13428,876,1992
"AGO",2025,"AGOr211","Rural",13541,26461,1802,3925
"AGO",2025,"AGOr211","Urban",783758,1531546,104275,227191
"AGO",2025,"AGOr218","Rural",45381,71342,3553,10583
"AGO",2025,"AGOr218","Urban",75489,118675,5910,17604
"AGO",2025,"AGOr217","Rural",304461,443218,31490,65747
"AGO",2025,"AGOr217","Urban",3472,5055,359,750
"AGO",2025,"AGOr203","Rural",19126,33180,1987,4922
"AGO",2025,"AGOr203","Urban",928493,1610771,96479,238943
"AGO",2025,"AGOr202","Rural",539199,810158,39090,120180
"AGO",2025,"AGOr202","Urban",34923,52472,2532,7784
"AGO",2025,"AGOr205","Rural",3311,6037,418,896
"AGO",2025,"AGOr205","Urban",179911,328058,22727,48664
"AGO",2025,"AGOr204","Rural",998,1528,62,227
"AGO",2025,"AGOr204","Urban",9844165,15072958,613211,2235935
"AGO",2025,"AGOr201","Rural",9948,16664,823,2472
"AGO",2025,"AGOr201","Urban",733584,1228831,60664,182286
"AGO",2025,"AGOr207","Rural",948008,1386186,86397,205628
"AGO",2025,"AGOr207","Urban",24856,36345,2265,5391
"AGO",2025,"AGOr206","Rural",653399,1153328,80020,171086
"AGO",2025,"AGOr206","Urban",1847531,3261118,226261,483757
"AGO",2025,"AGOr209","Rural",21387,36455,2183,5408
"AGO",2025,"AGOr209","Urban",1329713,2266538,135718,336220
"AGO",2025,"AGOr208","Rural",734619,1069263,74364,158615
"AGO",2025,"AGOr208","Urban",0,0,0,0
"AGO",2030,"AGOr214","Rural",144212,217742,10331,29461
"AGO",2030,"AGOr214","Urban",6340,9572,454,1295
"AGO",2030,"AGOr213","Rural",1887561,2791228,118121,377658
"AGO",2030,"AGOr213","Urban",67569,99918,4228,13519
"AGO",2030,"AGOr216","Rural",2068620,3018834,130091,408453
"AGO",2030,"AGOr216","Urban",0,0,0,0
"AGO",2030,"AGOr215","Rural",1416706,2183849,95410,295478
"AGO",2030,"AGOr215","Urban",670797,1034032,45176,139906
"AGO",2030,"AGOr210","Rural",0,0,0,0
"AGO",2030,"AGOr210","Urban",918154,1525447,78663,206396
"AGO",2030,"AGOr212","Rural",574653,840651,46124,113741
"AGO",2030,"AGOr212","Urban",9824,14371,788,1944
"AGO",2030,"AGOr211","Rural",13516,23759,1334,3215
"AGO",2030,"AGOr211","Urban",882981,1552193,87155,210014
"AGO",2030,"AGOr218","Rural",27905,42753,1802,5785
"AGO",2030,"AGOr218","Urban",47678,73047,3079,9883
"AGO",2030,"AGOr217","Rural",265032,385043,23876,52097
"AGO",2030,"AGOr217","Urban",3197,4645,288,628
"AGO",2030,"AGOr203","Rural",15571,25998,1233,3518
"AGO",2030,"AGOr203","Urban",923101,1541292,73105,208539
"AGO",2030,"AGOr202","Rural",667357,995749,39162,134727
"AGO",2030,"AGOr202","Urban",48365,72165,2838,9764
"AGO",2030,"AGOr205","Rural",2585,4283,246,579
"AGO",2030,"AGOr205","Urban",162018,268462,15416,36323
"AGO",2030,"AGOr204","Rural",1174,1764,59,239
"AGO",2030,"AGOr204","Urban",12710383,19091245,640711,2583077
"AGO",2030,"AGOr201","Rural",14090,23177,936,3136
"AGO",2030,"AGOr201","Urban",1122874,1847107,74592,249917
"AGO",2030,"AGOr207","Rural",1021476,1491269,77738,201771
"AGO",2030,"AGOr207","Urban",30145,44009,2294,5954
"AGO",2030,"AGOr206","Rural",420988,715020,41405,96743
"AGO",2030,"AGOr206","Urban",3558108,6043214,349949,817657
"AGO",2030,"AGOr209","Rural",16638,26284,1311,3556
"AGO",2030,"AGOr209","Urban",1303111,2058614,102703,278534
"AGO",2030,"AGOr208","Rural",849573,1233028,73859,166831
"AGO",2030,"AGOr208","Urban",0,0,0,0
"ALB",2020,"ALBr210","Rural",25996,169236,0,9497
"ALB",2020,"ALBr210","Urban",1791,11662,0,654
"ALB",2020,"ALBr212","Rural",40665,158622,0,8901
"ALB",2020,"ALBr212","Urban",5635,21980,0,1233
"ALB",2020,"ALBr211","Rural",1719,4834,0,271
"ALB",2020,"ALBr211","Urban",322534,906989,0,50895
"ALB",2020,"ALBr205","Rural",1022,3272,0,184
"ALB",2020,"ALBr205","Urban",88479,283408,0,15903
"ALB",2020,"ALBr204","Rural",18480,67645,0,3796
"ALB",2020,"ALBr204","Urban",54537,199632,0,11202
"ALB",2020,"ALBr207","Rural",53981,228546,0,12825
"ALB",2020,"ALBr207","Urban",2894,12251,0,687
"ALB",2020,"ALBr206","Rural",8600,53645,0,3010
"ALB",2020,"ALBr206","Urban",1239,7729,0,434
"ALB",2020,"ALBr201","Rural",7507,23961,0,1345
"ALB",2020,"ALBr201","Urban",30794,98294,0,5516
"ALB",2020,"ALBr203","Rural",3108,14104,0,791
"ALB",2020,"ALBr203","Urban",62172,282179,0,15834
"ALB",2020,"ALBr202","Rural",25649,101004,0,5668
"ALB",2020,"ALBr202","Urban",4681,18435,0,1034
"ALB",2020,"ALBr209","Rural",17445,50523,0,2835
"ALB",2020,"ALBr209","Urban",26146,75724,0,4249
"ALB",2020,"ALBr208","Rural",12154,61696,0,3462
"ALB",2020,"ALBr208","Urban",3027,15367,0,862
"ALB",2025,"ALBr210","Rural",17610,128799,0,6903
"ALB",2025,"ALBr210","Urban",1757,12852,0,689
"ALB",2025,"ALBr212","Rural",16695,140267,0,7517
"ALB",2025,"ALBr212","Urban",6270,52678,0,2823
"ALB",2025,"ALBr211","Rural",738,3734,0,200
"ALB",2025,"ALBr211","Urban",202193,1022474,0,54798
"ALB",2025,"ALBr205","Rural",473,2982,0,160
"ALB",2025,"ALBr205","Urban",43323,273141,0,14639
"ALB",2025,"ALBr204","Rural",7385,58116,0,3115
"ALB",2025,"ALBr204","Urban",23106,181829,0,9745
"ALB",2025,"ALBr207","Rural",24855,213360,0,11435
"ALB",2025,"ALBr207","Urban",4488,38529,0,2065
"ALB",2025,"ALBr206","Rural",5396,45168,0,2421
"ALB",2025,"ALBr206","Urban",849,7103,0,381
"ALB",2025,"ALBr201","Rural",2633,20980,0,1124
"ALB",2025,"ALBr201","Urban",11224,89418,0,4792
"ALB",2025,"ALBr203","Rural",2052,10892,0,584
"ALB",2025,"ALBr203","Urban",60724,322358,0,17276
"ALB",2025,"ALBr202","Rural",12779,89262,0,4784
"ALB",2025,"ALBr202","Urban",2522,17616,0,944
"ALB",2025,"ALBr209","Rural",6037,47735,0,2558
"ALB",2025,"ALBr209","Urban",10474,82820,0,4439
"ALB",2025,"ALBr208","Rural",7675,59572,0,3193
"ALB",2025,"ALBr208","Urban",2025,15718,0,842
"ALB",2030,"ALBr210","Rural",12835,97207,0,4858
"ALB",2030,"ALBr210","Urban",1709,12939,0,647
"ALB",2030,"ALBr212","Rural",13971,117983,0,5897
"ALB",2030,"ALBr212","Urban",10342,87342,0,4365
"ALB",2030,"ALBr211","Rural",475,2291,0,114
"ALB",2030,"ALBr211","Urban",236766,1140936,0,57022
"ALB",2030,"ALBr205","Rural",454,2703,0,135
"ALB",2030,"ALBr205","Urban",44009,262223,0,13105
"ALB",2030,"ALBr204","Rural",6444,49614,0,2480
"ALB",2030,"ALBr204","Urban",21397,164748,0,8234
"ALB",2030,"ALBr207","Rural",22801,195667,0,9779
"ALB",2030,"ALBr207","Urban",7787,66822,0,3340
"ALB",2030,"ALBr206","Rural",4645,37864,0,1892
"ALB",2030,"ALBr206","Urban",793,6468,0,323
"ALB",2030,"ALBr201","Rural",2228,18286,0,914
"ALB",2030,"ALBr201","Urban",9870,80992,0,4048
"ALB",2030,"ALBr203","Rural",1407,6767,0,338
"ALB",2030,"ALBr203","Urban",76127,366093,0,18297
"ALB",2030,"ALBr202","Rural",11117,78536,0,3925
"ALB",2030,"ALBr202","Urban",2364,16700,0,835
"ALB",2030,"ALBr209","Rural",5227,44626,0,2230
"ALB",2030,"ALBr209","Urban",10527,89884,0,4492
"ALB",2030,"ALBr208","Rural",7291,57292,0,2863
"ALB",2030,"ALBr208","Urban",2035,15994,0,799
"ARE",2020,"AREt","Rural",76853,1238774,0,64089
"ARE",2020,"AREt","Urban",543915,8767242,0,453583
"ARE",2025,"AREt","Rural",73980,1231639,0,53670
"ARE",2025,"AREt","Urban",592407,9862598,0,429775
"ARE",2030,"AREt","Rural",70075,1215939,0,47297
"ARE",2030,"AREt","Urban",627512,10888595,0,423542
"ARG",2020,"ARGr110","Rural",51741,171207,0,12992
"ARG",2020,"ARGr110","Urban",997952,3302153,0,250582
"ARG",2020,"ARGr111","Rural",73768,242209,0,18380
"ARG",2020,"ARGr111","Urban",719315,2361794,0,179224
"ARG",2020,"ARGr101","Rural",0,0,0,0
"ARG",2020,"ARGr101","Urban",1048156,3505944,0,266047
"ARG",2020,"ARGr107","Rural",248522,930152,0,70584
"ARG",2020,"ARGr107","Urban",365004,1366113,0,103667
"ARG",2020,"ARGr106","Rural",56638,186590,0,14159
"ARG",2020,"ARGr106","Urban",470863,1551222,0,117714
"ARG",2020,"ARGr109","Rural",145199,489870,0,37174
"ARG",2020,"ARGr109","Urban",672511,2268906,0,172175
"ARG",2020,"ARGr108","Rural",84019,281838,0,21387
"ARG",2020,"ARGr108","Urban",543454,1822995,0,138337
"ARG",2020,"ARGr103","Rural",76065,268886,0,20404
