"ISO3","YEAR","GDLCODE","GEO_AREA","fies","population","stunting","u5pop"
"AGO",2025,"AGOr202","rural",303602,626070,1343033,3979082
"AGO",2025,"AGOr202","urban",19664,40549,86985,257715
"AGO",2025,"AGOr203","rural",16789,25641,36130,85513
"AGO",2025,"AGOr203","urban",815018,1244764,1753964,4151285
"AGO",2025,"AGOr204","rural",535,1180,122,429
"AGO",2025,"AGOr204","urban",5280475,11648009,1201296,4236369
"AGO",2025,"AGOr205","rural",2657,4665,36874,76554
"AGO",2025,"AGOr205","urban",144388,253515,2003885,4160244
"AGO",2025,"AGOr206","rural",534426,891263,532867,1106915
"AGO",2025,"AGOr206","urban",1511128,2520111,1506721,3129883
"AGO",2025,"AGOr207","rural",569217,1071211,1784547,4128552
"AGO",2025,"AGOr207","urban",14924,28086,46789,108246
"AGO",2025,"AGOr208","rural",475153,826300,2024236,4236798
"AGO",2025,"AGOr208","urban",0,0,0,0
"AGO",2025,"AGOr209","rural",17772,28172,27884,67067
"AGO",2025,"AGOr209","urban",1104953,1751524,1733647,4169731
"AGO",2025,"AGOr210","rural",293,495,696,1516
"AGO",2025,"AGOr210","urban",819414,1382759,1943930,4235282
"AGO",2025,"AGOr211","rural",11428,20448,34118,71956
"AGO",2025,"AGOr211","urban",661458,1183541,1974745,4164842
"AGO",2025,"AGOr212","rural",325806,608901,1881819,4165803
"AGO",2025,"AGOr212","urban",5552,10377,32070,70994
"AGO",2025,"AGOr213","rural",544667,1100749,1589609,4094352
"AGO",2025,"AGOr213","urban",18949,38296,55304,142446
"AGO",2025,"AGOr214","rural",134084,214919,1604169,4081052
"AGO",2025,"AGOr214","urban",5117,8202,61220,155746
"AGO",2025,"AGOr215","rural",1269441,1894956,1406093,3414188
"AGO",2025,"AGOr215","urban",305857,456568,338782,822610
"AGO",2025,"AGOr216","rural",1072610,1604173,1631263,4236798
"AGO",2025,"AGOr216","urban",0,0,0,0
"AGO",2025,"AGOr217","rural",173023,342508,2035934,4189026
"AGO",2025,"AGOr217","urban",1973,3906,23218,47772
"AGO",2025,"AGOr218","rural",32511,55132,547445,1590721
"AGO",2025,"AGOr218","urban",54081,91709,910644,2646076
"AGO",2030,"AGOr201","rural",9611,17911,16751,53412
"AGO",2030,"AGOr201","urban",765922,1427398,1334914,4256644
"AGO",2030,"AGOr202","rural",329726,769489,1228441,4018797
"AGO",2030,"AGOr202","urban",23897,55768,89030,291259
"AGO",2030,"AGOr203","rural",13818,20091,26716,71496
"AGO",2030,"AGOr203","urban",819198,1191072,1583825,4238560
"AGO",2030,"AGOr204","rural",657,1363,103,398
"AGO",2030,"AGOr204","urban",7116468,14753242,1117915,4309658
"AGO",2030,"AGOr205","rural",1854,3311,30001,67707
"AGO",2030,"AGOr205","urban",116169,207460,1879791,4242349
"AGO",2030,"AGOr206","rural",326504,552550,203132,456003
