"YEAR","GDLCODE","fies.mod","fies.sev","ISO3","stunting","wasting","school_mean","ruggedness","gdp_percap","gini","mal_falciparum","precip","hci","tave","precip_l","tave_l","population","rural_perc","urban_perc","ws_share","region","fies.mod.pred.cv","fies.sev.pred.cv","fies.sev.pred","fies.mod.pred"
2014,"AFGr101",0.339921859769405,0.135766017574309,"AFG",0.554620807485774,0.0402255171446561,5.80994565258605,230.493788245052,2804.8503384073,0.338095938333,2.27564905533228e-07,651.84,0.384774465028959,7.02258332840477,749.8,7.09966664653892,6206718,0.392687085187373,0.607312914812627,0.571318327605192,"Central & Southern Asia",0.397524520916035,0.132828878198821,0.135353424662671,0.410786352837121
2014,"AFGr102",0.451842151571523,0.156407590350557,"AFG",0.514909603123395,0.0472038396976301,1.96994565258605,157.897369004376,1722.71048308956,0.338095938333,1.23550180996489e-07,411.6,0.384774465028959,4.62341666752473,484.28,4.88791665081556,863432,0.999129057065293,0.000869784765910923,0.344661090435606,"Central & Southern Asia",0.440156456957103,0.149827057029066,0.152221629848525,0.460923325955503
2014,"AFGr103",0.426462617557934,0.150507450811343,"AFG",0.542391527895284,0.0725591684321013,3.68994565258605,313.17028555041,1710.93777655842,0.338095938333,4.33412400871893e-07,750.54,0.384774465028959,11.0853333352382,868,11.0988333216061,2882388,0.843328517881701,0.156671482118299,0.470598667352148,"Central & Southern Asia",0.415569290539279,0.148079581597318,0.146064226378134,0.438181652665975
2014,"AFGr104",0.436017080062652,0.154632962606945,"AFG",0.428508611729802,0.0511794652016182,3.09994565258605,159.33047692159,2501.60362156922,0.338095938333,9.89578054521814e-08,343.52,0.384774465028959,11.9538333499866,309.98,12.6083333324703,5967197,0.89795493596072,0.10204489645641,0.338879327368482,"Central & Southern Asia",0.409004496808839,0.147864497306409,0.154344053935392,0.449784358979513
2014,"AFGr105",0.409174470629688,0.134000100455111,"AFG",0.434755835990646,0.051622119887013,2.47994565258605,292.000278870879,1978.15612495897,0.338095938333,8.95131014802914e-08,490.74,0.384774465028959,7.60291665111979,511.94,7.98449998943756,4896035,0.935924273417163,0.064075522335931,0.223928728309321,"Central & Southern Asia",0.401512395220565,0.141609679198155,0.133494939304902,0.442141288433356
2014,"AFGr106",0.429187031406179,0.151235712199676,"AFG",0.593751791592524,0.0905289080669391,1.92994565258605,89.8364577845236,2157.67025873225,0.338095938333,2.76913598326623e-06,87.36,0.384774465028959,19.7683333421312,113.8,19.9848333355412,4356250,0.846037302725968,0.153962697274032,0.401860498092214,"Central & Southern Asia",0.48422650387328,0.186935391971989,0.154936705642084,0.478749789378349
2014,"AFGr107",0.388037687247624,0.146996478909132,"AFG",0.584730373622623,0.0622307460604257,2.50994565258605,151.173378367194,2141.07051300672,0.338095938333,2.05562725393824e-06,365.78,0.384774465028959,10.2665833423349,414.12,10.2370833190096,3703513,0.631553068667506,0.368446931332494,0.415731206066274,"Central & Southern Asia",0.412269589891321,0.147734533323198,0.14681702081099,0.446959370544422
2014,"AFGr108",0.438687221487441,0.15343424617906,"AFG",0.513812813211033,0.0614711852378345,2.15994565258605,140.297321587161,2066.60242010804,0.338095938333,2.15824074206065e-07,193.72,0.384774465028959,13.0318333181491,198.46,13.7282499915796,4495263,0.891476205062974,0.108523794937026,0.211469346473275,"Central & Southern Asia",0.427689739640414,0.156302011933978,0.154417882775496,0.457041327324197
2014,"AGOr201",0.451872538540188,0.125406455526233,"AGO",0.445188663002238,0.0740457504134939,4.9863117578414,26.0599860633355,10416.4657005389,0.487002550637,4.33986948702604e-06,1083.88,0.434560057209387,25.0728332964579,1181.52,25.3102499945958,501885,0.0267352082648415,0.973262799246839,0,"Sub-Saharan Africa",0.610795091746172,0.318536120625391,0.166537220917583,0.571428319649196
2014,"AGOr202",0.688909758877966,0.235939944314454,"AGO",0.412939727479736,0.0610399041357361,3.0263117578414,52.4734376444548,4324.96529205472,0.487002550637,1.02035897358747e-05,952.3,0.434560057209387,24.8369166771571,1072.06,25.0482500060399,508913,0.963137117739181,0.0368628822608186,0.0906233176457615,"Sub-Saharan Africa",0.620092664411834,0.334144776669539,0.240790518544005,0.624885385005373
2014,"AGOr203",0.477099945822489,0.151971654168261,"AGO",0.528139866819796,0.0632076420584839,2.0163117578414,38.264824164148,3703.58973891385,0.487002550637,1.75455773297057e-05,1168.24,0.434560057209387,23.1130833220482,1347.74,23.2702500081062,1656864,0.221929500550437,0.778070499449563,0,"Sub-Saharan Africa",0.615374735143176,0.323914387021347,0.177138297017087,0.592656779664141
2014,"AGOr204",0.438020091347664,0.108750118782231,"AGO",0.353015353543717,0.0494538464240338,5.7663117578414,51.5617491689278,17072.2972704381,0.487002550637,1.63475657012441e-07,553.12,0.434560057209387,25.7469166437785,462.84,25.9970833110809,8188591,0.000128105067159906,0.99987189493284,0.591663744501232,"Sub-Saharan Africa",0.572997868432861,0.285750838242228,0.156691968171708,0.534192471020395
2014,"AGOr205",0.450863271047261,0.140300076828682,"AGO",0.574599867162451,0.0537522296495406,1.3563117578414,57.4426457848296,3862.98283256507,0.487002550637,8.52400759794291e-06,1065.74,0.434560057209387,22.9791666587194,890.28,23.1335000181198,472103,0.0327343821157671,0.967265617884233,0,"Sub-Saharan Africa",0.610724939238512,0.317338469529132,0.161331766203658,0.581803645144317
