"ISO3","YEAR","u5_frac"
"CMR",2015,0.143181285377554
"CMR",2020,0.129752933795419
"CMR",2025,0.11800076999868
"CMR",2030,0.110946780112656
"COD",2010,0.17960862898719
"COD",2015,0.172923272566704
"COD",2020,0.165887518665059
"COD",2025,0.155933403369394
"COD",2030,0.142798850118043
"COG",2010,0.154157697236562
"COG",2015,0.139539195778519
"COG",2020,0.126550903365122
"COG",2025,0.115242331537201
"COG",2030,0.108494598556852
"COL",2010,0.0971525315315373
"COL",2015,0.0886549994995423
"COL",2020,0.0832021075612298
"COL",2025,0.0776661426399542
"COL",2030,0.0724780948225373
"COM",2010,0.166445729840082
"COM",2015,0.148445653705511
"COM",2020,0.129681202716014
"COM",2025,0.118297008831918
"COM",2030,0.113070820554816
"CPV",2010,0.102084883235652
"CPV",2015,0.0990833417552553
"CPV",2020,0.094358423151271
"CPV",2025,0.0881767970353066
"CPV",2030,0.0814508561478141
"CRI",2010,0.0779110976505762
"CRI",2015,0.0729101074036264
"CRI",2020,0.067676485521778
"CRI",2025,0.0628888320371706
"CRI",2030,0.0586704092259875
"CUB",2010,0.0505469054436858
"CUB",2015,0.0466363190318167
"CUB",2020,0.0449452898778706
"CUB",2025,0.042136565822112
"CUB",2030,0.0393109853372739
"CYP",2010,0.0575845356350355
"CYP",2015,0.0577541604022178
"CYP",2020,0.0562217696682502
"CYP",2025,0.0517500993088591
"CYP",2030,0.0467330921951539
"CZE",2010,0.0522068129488724
"CZE",2015,0.0536343102243407
"CZE",2020,0.0504105547176279
"CZE",2025,0.0470104485725384
"CZE",2030,0.0437795040517692
"DEU",2010,0.0421219471060691
"DEU",2015,0.0414766441232575
"DEU",2020,0.0415092060268836
"DEU",2025,0.0411083449482707
"DEU",2030,0.039961717238884
"DJI",2010,0.127339892609112
"DJI",2015,0.118545699937141
"DJI",2020,0.108510595615542
"DJI",2025,0.100750730071944
"DJI",2030,0.0939426469123134
"DNK",2010,0.0587384971411542
"DNK",2015,0.0559684476338664
"DNK",2020,0.0569414035684464
"DNK",2025,0.0588045305482517
"DNK",2030,0.0592606835828219
"DOM",2010,0.106178001716475
"DOM",2015,0.0968705269735837
"DOM",2020,0.0898948501458558
"DOM",2025,0.0844862436077474
"DOM",2030,0.0798217627027954
"DZA",2010,0.097172882261207
"DZA",2015,0.0926031426452683
"DZA",2020,0.0860102604983949
"DZA",2025,0.076921430386435
"DZA",2030,0.0679635240164233
"ECU",2010,0.101620845007988
"ECU",2015,0.0932608342320318
"ECU",2020,0.0866392550167002
"ECU",2025,0.0814839885117911
"ECU",2030,0.0757373742687323
"EGY",2010,0.111045345218974
"EGY",2015,0.105932940920954
"EGY",2020,0.0981841538798709
"EGY",2025,0.0902740343719454
"EGY",2030,0.0838782907660559
"ERI",2010,0.163979659194819
"ERI",2015,0.147441902037551
"ERI",2020,0.12947759192976
"ERI",2025,0.114632533505528
"ERI",2030,0.107372012655919
"ESP",2010,0.0547209150320131
"ESP",2015,0.0487271976393869
"ESP",2020,0.0437310028794059
